City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ranong,9.97,98.63,75.2,94,20,3.11,TH,1592439211
Paraná,-31.73,-60.52,75.0,67,100,1.99,AR,1592439212
Mazagão,-0.12,-51.29,77.0,100,90,2.24,BR,1592439212
El Batey,19.77,-70.52,86.0,70,40,17.22,DO,1592439212
Port Macquarie,-31.43,152.92,59.0,98,95,1.01,AU,1592439212
Lebu,-37.62,-73.65,52.68,85,82,18.97,CL,1592439213
Kruisfontein,-34.0,24.73,52.99,42,0,6.22,ZA,1592439213
Chara,56.91,118.26,53.76,77,98,2.55,RU,1592439213
Lagoa,39.05,-27.98,63.0,80,85,8.55,PT,1592439214
Santa Maria,-29.68,-53.81,75.2,60,22,10.29,BR,1592439214
Chalmette,29.94,-89.96,88.0,43,1,8.05,US,1592439214
Kaitangata,-46.28,169.85,50.0,51,8,10.0,NZ,1592439214
Portland,45.52,-122.68,73.99,43,40,6.93,US,1592438737
Robertsport,6.75,-11.37,78.04,89,98,9.53,LR,1592439215
Manicoré,-5.81,-61.3,78.8,94,77,2.24,BR,1592439215
Lüderitz,-26.65,15.16,70.92,22,0,21.99,NA,1592439215
Ketchikan,55.34,-131.65,62.6,55,90,13.87,US,1592438930
Buala,-8.14,159.59,84.52,73,61,7.0,SB,1592439215
Bethanien,-26.5,17.16,48.61,49,0,8.3,NA,1592439216
Bambous Virieux,-20.34,57.76,69.8,88,75,19.46,MU,1592439216
Klaksvík,62.23,-6.59,48.2,93,100,1.12,FO,1592439216
Pierre,44.37,-100.35,87.8,48,20,10.29,US,1592438940
Mount Gambier,-37.83,140.77,48.2,81,66,12.75,AU,1592439216
Saskylakh,71.92,114.08,61.14,55,80,16.93,RU,1592439124
Limbang,4.75,115.0,80.6,88,75,2.24,MY,1592439217
Santa Ana,33.75,-117.87,78.01,60,20,12.75,US,1592438978
Codrington,-38.27,141.97,52.77,74,70,14.7,AU,1592439217
Mar del Plata,-38.0,-57.56,60.8,100,90,3.36,AR,1592439043
Yellowknife,62.46,-114.35,63.0,44,40,16.11,CA,1592439217
Airai,-8.93,125.41,62.83,91,63,5.84,TL,1592439218
Pontes e Lacerda,-15.23,-59.34,74.23,69,0,4.27,BR,1592439218
Tuatapere,-46.13,167.68,39.0,83,25,3.0,NZ,1592439218
Urambo,-5.07,32.05,59.79,58,0,4.41,TZ,1592439218
Mayumba,-3.43,10.66,72.0,91,55,2.01,GA,1592439219
Namikupa,-10.83,39.6,64.11,84,14,3.44,TZ,1592439219
Te Anau,-45.42,167.72,42.13,72,25,7.25,NZ,1592439219
Eureka,40.8,-124.16,72.0,75,0,7.0,US,1592439200
Aklavik,68.22,-135.01,60.8,67,75,6.93,CA,1592439220
Butaritari,3.07,172.79,82.76,76,20,12.37,KI,1592439220
Tynset,62.28,10.78,48.2,100,78,1.12,NO,1592439220
Lábrea,-7.26,-64.8,79.25,67,42,1.52,BR,1592439220
Salihorsk,52.79,27.54,63.05,96,0,7.72,BY,1592439221
Srednekolymsk,67.45,153.68,85.19,24,3,6.91,RU,1592439221
Nevers,46.99,3.16,52.0,92,21,6.35,FR,1592439221
Mishkino,55.34,63.92,48.25,89,79,6.58,RU,1592439221
New Norfolk,-42.78,147.06,36.0,87,2,3.13,AU,1592439222
Kapaa,22.08,-159.32,84.2,62,20,14.99,US,1592439222
Atambua,-9.11,124.89,75.34,72,64,6.38,ID,1592439222
Sandpoint,48.28,-116.55,57.99,87,75,10.29,US,1592439113
Novorudnyy,51.5,58.19,60.8,67,29,11.18,RU,1592439222
Calama,-22.47,-68.93,57.2,26,0,9.17,CL,1592439222
Nizhniy Kuranakh,58.84,125.49,68.07,64,59,2.24,RU,1592439223
Maués,-3.38,-57.72,77.83,76,25,0.92,BR,1592439193
Ciudad del Carmen,18.63,-91.83,86.0,74,40,10.29,MX,1592439114
Saint-Pierre,-21.34,55.48,66.2,82,40,13.87,RE,1592439223
Husavik,66.04,-17.34,46.4,87,41,5.82,IS,1592439062
Pevek,69.7,170.31,43.59,63,100,9.04,RU,1592439224
Chapais,49.78,-74.85,84.2,42,1,5.82,CA,1592439224
Khatanga,71.97,102.5,51.49,46,84,7.16,RU,1592439224
Constitución,-35.33,-72.42,53.47,85,89,15.41,CL,1592439225
Avarua,-21.21,-159.78,71.6,78,53,6.93,CK,1592439225
Oktyabr'skiy,54.48,53.47,53.62,91,14,6.46,RU,1592439225
Cavalcante,-13.8,-47.46,66.0,69,2,10.65,BR,1592439225
Harper,4.38,-7.72,77.32,84,78,10.76,LR,1592438946
Miragoâne,18.44,-73.09,81.95,74,93,1.66,HT,1592439226
Khovd,48.01,91.64,66.97,40,80,0.69,MN,1592439226
Okato,-39.2,173.88,57.99,82,100,1.01,NZ,1592439226
Wanning,18.8,110.4,83.53,79,0,12.21,CN,1592439226
Petropavlovsk-Kamchatskiy,53.05,158.65,48.2,87,75,8.95,RU,1592439227
Bathsheba,13.22,-59.52,82.4,74,20,17.22,BB,1592439227
Turukhansk,65.82,87.98,42.28,92,100,13.4,RU,1592439227
Moranbah,-22.0,148.05,64.92,72,82,24.27,AU,1592439228
Great Yarmouth,52.61,1.73,57.0,99,94,3.0,GB,1592439228
Manyana,-23.4,21.72,48.0,59,0,9.84,BW,1592439228
Man,7.41,-7.55,73.49,93,79,3.71,CI,1592439228
San Patricio,19.22,-104.7,84.2,74,40,11.41,MX,1592439228
Durusu,41.31,28.68,69.8,94,40,4.7,TR,1592439228
Makakilo City,21.35,-158.09,86.0,54,75,12.75,US,1592439229
Longyearbyen,78.22,15.64,37.4,76,40,10.29,SJ,1592439229
Anjozorobe,-18.4,47.87,51.8,76,75,12.75,MG,1592439229
Farmington,36.73,-108.22,89.6,7,1,13.87,US,1592439096
Agüimes,27.91,-15.45,75.2,64,20,6.93,ES,1592439230
Tanabi,-20.63,-49.65,71.6,49,42,4.7,BR,1592439230
Geraldton,-28.77,114.6,62.6,72,75,17.22,AU,1592439230
Saint George,37.1,-113.58,91.0,14,1,16.11,US,1592439231
Artyom,40.47,50.33,73.4,64,85,13.87,AZ,1592439231
Noumea,-22.28,166.46,77.0,65,75,3.36,NC,1592439055
Ilmajoki,62.73,22.57,62.6,93,5,4.7,FI,1592439231
Rabo de Peixe,37.8,-25.58,62.6,82,20,10.29,PT,1592439231
Singaraja,-8.11,115.09,80.91,71,5,2.19,ID,1592439231
Hobart,-42.88,147.33,39.0,86,20,6.93,AU,1592439030
Motygino,58.18,94.76,58.17,51,0,8.23,RU,1592439232
Comodoro Rivadavia,-45.87,-67.5,51.8,57,82,11.41,AR,1592438974
Rio Grande,-32.03,-52.1,64.99,90,97,3.0,BR,1592439233
Chicama,-7.84,-79.15,65.88,76,1,6.24,PE,1592439233
Patrocínio,-18.94,-46.99,64.0,77,90,13.87,BR,1592439233
Jining,35.41,116.58,66.33,84,100,9.15,CN,1592439233
Laguna,38.42,-121.42,89.6,15,1,16.11,US,1592439233
Mount Isa,-20.73,139.5,71.6,46,0,10.29,AU,1592439234
Koboko,3.41,30.96,61.88,97,25,3.42,UG,1592439234
Vostok,46.49,135.88,48.45,100,100,1.74,RU,1592439234
Torbay,47.67,-52.73,61.0,41,90,24.16,CA,1592439148
Beaver Dam,43.46,-88.84,82.99,42,1,4.7,US,1592439071
Lavrentiya,65.58,-171.0,50.81,63,43,5.32,RU,1592439235
Ilulissat,69.22,-51.1,35.6,80,51,6.93,GL,1592439235
Hambantota,6.12,81.12,80.47,85,81,12.73,LK,1592439235
Haines Junction,60.75,-137.51,61.88,43,45,11.5,CA,1592439235
Malbork,54.04,19.03,62.01,87,20,5.82,PL,1592438979
Cidreira,-30.18,-50.21,64.58,87,28,10.85,BR,1592439236
Mortka,59.33,66.02,43.83,69,9,6.38,RU,1592439236
Payakumbuh,-0.22,100.63,70.75,88,93,1.07,ID,1592439236
Mahébourg,-20.41,57.7,69.8,88,75,19.46,MU,1592439236
Maniitsoq,65.42,-52.9,37.08,81,39,8.25,GL,1592439236
Bac Lieu,9.29,105.72,82.27,78,6,9.64,VN,1592439237
Suba,10.84,121.01,84.83,70,100,7.02,PH,1592439237
Dingle,11.0,122.67,83.7,72,100,4.18,PH,1592439237
Marystown,47.17,-55.15,52.16,72,96,12.35,CA,1592439237
Yabrūd,33.97,36.66,69.8,46,0,9.17,SY,1592439237
Manaure,11.78,-72.44,84.02,68,80,11.65,CO,1592439238
Rantauprapat,2.1,99.83,73.69,96,100,2.33,ID,1592439238
Dávod,45.99,18.92,64.4,93,99,6.93,HU,1592439238
Mackenzie,55.3,-123.17,64.4,48,90,3.36,CA,1592439238
Olafsvik,64.89,-23.71,48.09,80,100,10.54,IS,1592439239
Chimbote,-9.09,-78.58,63.14,86,3,10.0,PE,1592439239
Egvekinot,66.32,-179.17,59.65,38,39,3.0,RU,1592439239
Waingapu,-9.66,120.26,79.02,71,86,17.85,ID,1592439239
Capinota,-17.72,-66.23,66.2,24,1,6.93,BO,1592439239
Barra de Tecoanapa,16.52,-98.75,85.68,69,0,8.37,MX,1592439239
Aitape,-3.14,142.35,84.16,67,0,2.53,PG,1592439240
Ucluelet,48.93,-125.55,63.0,72,75,12.75,CA,1592439027
Hauterive,46.09,3.45,57.2,87,75,9.17,FR,1592439240
Port Hardy,50.7,-127.42,60.8,72,75,6.93,CA,1592439240
Los Llanos de Aridane,28.66,-17.92,71.6,64,20,4.7,ES,1592439240
Octeville,49.63,-1.64,57.99,100,74,0.94,FR,1592439240
Fairbanks,64.84,-147.72,77.0,33,1,6.93,US,1592439241
Souillac,-20.52,57.52,69.8,88,75,19.46,MU,1592439241
Saldanha,-33.01,17.94,50.0,71,11,3.36,ZA,1592439241
Gold Coast,-28.0,153.43,70.0,68,90,11.41,AU,1592439001
Guozhen,34.37,107.36,74.68,52,0,3.69,CN,1592439242
Pisco,-13.7,-76.22,66.2,77,0,13.87,PE,1592439242
Goderich,43.75,-81.72,78.01,56,0,4.29,CA,1592439242
Emerald,-23.53,148.17,66.99,68,0,13.87,AU,1592439242
Bilibino,68.05,166.44,77.86,24,98,10.63,RU,1592439242
Kolda,12.88,-14.95,86.0,84,40,4.7,SN,1592439243
Beirut,33.89,35.49,77.0,57,0,5.82,LB,1592438969
Verkhnevilyuysk,63.45,120.32,59.7,79,99,5.95,RU,1592439124
Coquimbo,-29.95,-71.34,55.4,76,15,8.05,CL,1592439243
Broken Hill,-31.95,141.43,50.0,71,0,4.7,AU,1592439243
Whyalla,-33.03,137.58,44.6,87,0,5.82,AU,1592438946
Moose Factory,51.26,-80.61,89.6,35,1,16.11,CA,1592439244
Mangan,27.52,88.53,75.99,56,96,1.03,IN,1592439244
Kedrovyy,56.17,91.82,53.6,76,0,4.47,RU,1592439124
Sur,22.57,59.53,87.62,59,55,6.55,OM,1592439245
Delano,35.77,-119.25,89.01,16,1,6.93,US,1592439245
Beloha,-25.17,45.05,61.39,85,54,9.26,MG,1592439245
Ponta Delgada,37.73,-25.67,62.6,82,20,10.29,PT,1592439245
Bodden Town,19.28,-81.25,87.8,70,20,5.82,KY,1592439245
Tiznit Province,29.58,-9.5,65.8,56,15,2.82,MA,1592439246
Itaituba,-4.28,-55.98,77.88,77,71,1.7,BR,1592439246
Sühbaatar,50.23,106.21,63.66,45,34,3.44,MN,1592439246
Ust-Kuyga,70.02,135.6,79.92,30,2,11.23,RU,1592439247
Thunder Bay,48.4,-89.32,82.4,39,20,11.41,CA,1592438969
Jackson,42.42,-122.83,75.99,33,1,3.36,US,1592439060
Darlawn,24.02,92.9,68.7,100,98,2.44,IN,1592439247
Mukhen,48.1,136.1,51.03,95,100,4.03,RU,1592439247
Utmanzai,34.19,71.76,83.62,18,0,4.12,PK,1592439248
Neuquén,-38.95,-68.06,46.4,70,69,5.82,AR,1592439053
Powell,40.16,-83.08,75.2,47,1,10.29,US,1592439218
Witu,-2.39,40.44,76.77,79,30,14.9,KE,1592439249
Vardø,70.37,31.11,45.21,81,8,10.6,NO,1592439249
Boshnyakovo,49.63,142.17,48.07,90,100,3.53,RU,1592439249
Puri,19.8,85.85,82.4,88,75,10.29,IN,1592439249
Paiçandu,-23.46,-52.05,64.29,85,44,9.26,BR,1592439249
Edirne,41.68,26.56,59.0,98,92,2.59,TR,1592439250
Palana,59.12,159.97,47.39,88,100,11.05,RU,1592439250
Adrar,20.5,-10.07,96.28,17,0,17.76,MR,1592439250
Río Gallegos,-51.62,-69.22,30.2,92,75,3.36,AR,1592439250
Sibolga,1.74,98.78,76.6,81,90,3.6,ID,1592439251
Yining,29.04,114.56,81.97,77,96,5.1,CN,1592439251
Half Moon Bay,37.46,-122.43,84.2,59,1,13.87,US,1592439251
Feijó,-8.16,-70.35,76.06,73,79,1.23,BR,1592439251
Hokitika,-42.72,170.97,49.91,76,100,4.47,NZ,1592439252
Nuuk,64.18,-51.72,39.2,81,75,2.24,GL,1592439008
Kalmunai,7.42,81.82,80.35,78,100,6.55,LK,1592439252
Likasi,-10.98,26.73,49.66,81,20,4.32,CD,1592439252
Nanortalik,60.14,-45.24,38.3,81,97,8.68,GL,1592439252
Marabu,4.41,114.01,78.8,100,75,3.36,MY,1592439253
Bandarbeyla,9.49,50.81,82.0,65,87,31.27,SO,1592439253
Cervo,43.67,-7.41,55.99,90,31,6.2,ES,1592439253
Erzin,36.96,36.2,72.0,88,0,0.4,TR,1592439253
Cayenne,4.93,-52.33,77.0,100,97,5.35,GF,1592439109
Belaya Gora,68.53,146.42,87.67,20,0,9.01,RU,1592439126
Magomeni,-6.8,39.25,73.4,88,20,4.7,TZ,1592439254
Bakchar,57.02,82.07,55.22,84,0,0.89,RU,1592439254
Baykit,61.67,96.37,59.61,52,94,4.03,RU,1592439255
Road Town,18.42,-64.62,82.99,83,57,13.0,VG,1592439255
Gīdolē,5.65,37.37,56.95,98,85,2.75,ET,1592439255
Saint Anthony,45.02,-93.22,87.8,33,5,17.22,US,1592439255
Miracema do Tocantins,-9.56,-48.4,76.21,57,0,4.52,BR,1592439255
Nanma,36.18,118.16,61.09,87,100,8.39,CN,1592439256
Oliveira,-20.7,-44.83,55.26,94,17,6.42,BR,1592439241
Ngunguru,-35.62,174.5,61.0,96,97,13.0,NZ,1592439256
Kutum,14.2,24.67,73.6,59,61,5.66,SD,1592439256
Padang,-0.95,100.35,77.74,79,53,5.35,ID,1592439257
Mujiayingzi,42.12,118.78,65.73,57,100,5.91,CN,1592439257
Tabou,4.42,-7.35,77.22,85,88,11.54,CI,1592439257
Longyan,25.11,117.02,80.69,65,80,4.94,CN,1592439257
Kuching,1.55,110.33,75.2,100,40,2.24,MY,1592439257
Tommot,58.96,126.29,62.13,75,100,2.66,RU,1592439258
Karpogory,64.0,44.45,42.01,82,2,3.02,RU,1592439258
Vestmannaeyjar,63.44,-20.27,48.72,75,100,20.8,IS,1592439258
Muroto-misakicho,33.28,134.15,68.0,94,75,8.05,JP,1592439258
Broome,42.25,-75.83,78.8,34,1,5.82,US,1592439259
Port-Gentil,-0.72,8.78,75.2,94,75,6.93,GA,1592439259
Flinders,-34.58,150.86,59.0,80,71,3.0,AU,1592439218
Tasiilaq,65.61,-37.64,39.2,80,100,27.51,GL,1592439259
Harlingen,26.19,-97.7,87.8,62,20,16.11,US,1592439260
Ullapool,57.9,-5.16,53.01,94,38,1.01,GB,1592439260
Zeya,53.75,127.27,65.79,42,16,4.34,RU,1592439260
Leningradskiy,69.38,178.42,52.0,49,100,9.89,RU,1592439260
Acaraú,-2.89,-40.12,77.29,84,3,10.92,BR,1592439020
Camaná,-16.62,-72.71,63.93,78,81,10.56,PE,1592439004
Armidale,-30.52,151.65,48.0,71,87,10.0,AU,1592439261
Yeppoon,-23.13,150.73,71.6,56,100,10.29,AU,1592439261
Boone,39.03,-92.33,84.0,44,0,3.0,US,1592439262
Esperance,-33.87,121.9,51.8,87,90,12.75,AU,1592438996
Igarka,67.47,86.58,44.76,58,100,8.88,RU,1592439262
Port Elizabeth,-33.92,25.57,48.2,87,0,3.36,ZA,1592439262
Margate,51.38,1.39,60.01,100,100,1.01,GB,1592439262
Lompoc,34.64,-120.46,72.0,56,2,11.41,US,1592439263
Jumla,29.27,82.18,61.7,71,87,0.4,NP,1592439263
Aswān,24.09,32.91,83.44,15,0,3.78,EG,1592439263
Bridgetown,13.1,-59.62,82.4,74,20,17.22,BB,1592439075
Tateyama,34.98,139.87,75.99,83,75,8.05,JP,1592439264
Sinop Province,41.77,34.87,62.11,73,94,9.42,TR,1592439264
Lesnoy,57.62,63.08,44.76,72,16,5.61,RU,1592439264
Dogondoutchi,13.64,4.03,85.98,61,64,20.07,NE,1592439265
Keetmanshoop,-26.58,18.13,50.0,48,0,10.29,NA,1592439265
Gravdal,68.12,13.5,50.56,74,0,16.37,NO,1592439265
College,64.86,-147.8,75.99,31,75,7.81,US,1592439265
Santo Antônio da Platina,-23.3,-50.08,63.55,85,2,4.34,BR,1592438968
Beisfjord,68.38,17.6,51.8,66,40,16.11,NO,1592439265
North Platte,41.12,-100.77,93.2,30,1,19.46,US,1592439266
Shingū,33.73,135.98,71.6,68,75,8.05,JP,1592439266
Nichlaul,27.32,83.73,80.56,84,100,8.97,IN,1592439266
Grindavik,63.84,-22.43,48.2,70,75,14.99,IS,1592439267
Boda,4.32,17.47,68.95,93,97,2.91,CF,1592439267
Lookan,5.04,120.1,85.21,68,98,6.73,PH,1592439267
Dudinka,69.41,86.18,41.0,65,39,4.47,RU,1592439244
Davidson,36.15,-86.78,79.0,50,1,4.7,US,1592439268
Safi,32.3,-9.24,68.45,80,66,10.85,MA,1592439268
Vao,-22.67,167.48,72.57,80,76,14.03,NC,1592439268
Bay Roberts,47.6,-53.26,57.99,55,100,4.0,CA,1592439268
Tygda,53.12,126.33,67.86,41,0,3.06,RU,1592439269
Henties Bay,-22.12,14.28,73.0,29,0,1.01,NA,1592439269
Ambilobe,-13.2,49.05,62.4,62,7,3.67,MG,1592439269
Petauke,-14.24,31.33,58.23,64,52,13.6,ZM,1592439269
Khartoum,15.55,32.53,84.2,54,27,13.87,SD,1592439270
Sept-Îles,50.2,-66.38,73.4,49,75,9.17,CA,1592439270
Yulara,-25.24,130.99,46.4,42,0,5.82,AU,1592439270
Shache,38.42,77.24,69.85,31,3,7.67,CN,1592439271
Arrondissement de Limoux,42.92,2.17,59.0,87,75,2.24,FR,1592439271
Pomabamba,-8.83,-77.47,51.71,60,19,3.22,PE,1592439271
Fatehpur,25.93,80.8,88.7,60,88,3.44,IN,1592439271
Lamu,-2.27,40.9,77.27,82,28,19.08,KE,1592439272
Meulaboh,4.14,96.13,77.45,75,97,3.71,ID,1592439272
Sulangan,11.14,123.72,84.11,72,100,2.39,PH,1592439272
Ratoath,53.51,-6.46,57.2,93,75,4.7,IE,1592439272
Tezu,27.92,96.17,75.58,86,100,1.57,IN,1592439272
Biharamulo,-2.63,31.31,59.9,67,4,4.38,TZ,1592439273
Singaparna,-7.35,108.11,73.0,89,100,1.95,ID,1592439273
Ljubinje,42.95,18.09,64.4,100,75,1.12,BA,1592439274
Sakakah,29.97,40.21,82.4,20,0,10.29,SA,1592439274
Luleå,65.58,22.15,59.0,67,15,2.24,SE,1592438982
Vanavara,60.34,102.28,58.96,53,72,3.13,RU,1592439274
Dukat,62.55,155.55,59.09,50,76,4.12,RU,1592439275
Praia,14.92,-23.51,82.4,54,4,19.46,CV,1592439275
Ponnāni,10.77,75.93,71.6,100,75,5.82,IN,1592439275
Karasjok,69.47,25.51,41.0,93,7,6.93,NO,1592439275
Ihosy,-22.4,46.12,52.14,86,19,10.98,MG,1592439276
São José da Coroa Grande,-8.9,-35.15,75.78,80,15,9.15,BR,1592439133
Khandyga,62.67,135.6,77.4,39,38,1.66,RU,1592439276
Baruun-Urt,46.68,113.28,66.33,59,19,9.06,MN,1592439276
La Ronge,55.1,-105.28,50.0,71,90,16.11,CA,1592439277
